"Master SKU Code*","Product Name","Color","Brand","Total Quantity","Available Quantity","Blocked Quantity","Updated On"
"ShipRocket-116","Terracotta Jug (Big)","","","100","100","0","11 Jul 2026 12:00 PM"
"ShipRocket-115","Terracotta Jug (Small)","","","100","100","0","11 Jul 2026 12:00 PM"
"ShipRocket-114","Artisan Temple Bell","","","100","100","0","11 Jul 2026 12:00 PM"
"ShipRocket-113","Heritage Terracotta Surahi","","","100","100","0","11 Jul 2026 12:00 PM"
"ShipRocket-112","Natural Cooling Terracotta Bottle","","","100","100","0","11 Jul 2026 12:00 PM"
"ShipRocket-111","Modern Earthen Tea Cups (6 pcs)","","","100","100","0","11 Jul 2026 12:00 PM"
"ShipRocket-110","Minimalist Terracotta Tea Set (6 pcs)","","","100","100","0","11 Jul 2026 12:00 PM"
"ShipRocket-109","Textured Brick Tea Cup Set (6 pcs)","","","100","100","0","11 Jul 2026 12:00 PM"
"ShipRocket-108","Premium Terracotta Chai Set (6 pcs)","","","100","100","0","11 Jul 2026 12:00 PM"
"ShipRocket-107","Classic Earthen Tea Cup Set (6 pcs)","","","100","100","0","11 Jul 2026 12:00 PM"
"ShipRocket-106","Rustic Tombol Coffee Mug","","","100","100","0","11 Jul 2026 12:00 PM"
"ShipRocket-105","Artisan Brick Pattern Mug","","","100","100","0","11 Jul 2026 12:00 PM"
