"*Channel Name","Product Name","*SKU Code","Weight","Dimensions"
"WOOCOMMERCE","Terracotta Jug (Big)","SR-116","0.5","10x10x10"
"WOOCOMMERCE","Terracotta Jug (Small)","SR-115","0.5","10x10x10"
"WOOCOMMERCE","Artisan Temple Bell","SR-114","0.5","10x10x10"
"WOOCOMMERCE","Heritage Terracotta Surahi","SR-113","0.5","10x10x10"
"WOOCOMMERCE","Natural Cooling Terracotta Bottle","SR-112","0.5","10x10x10"
"WOOCOMMERCE","Modern Earthen Tea Cups (6 pcs)","SR-111","0.5","10x10x10"
"WOOCOMMERCE","Minimalist Terracotta Tea Set (6 pcs)","SR-110","0.5","10x10x10"
"WOOCOMMERCE","Textured Brick Tea Cup Set (6 pcs)","SR-109","0.5","10x10x10"
"WOOCOMMERCE","Premium Terracotta Chai Set (6 pcs)","SR-108","0.5","10x10x10"
"WOOCOMMERCE","Classic Earthen Tea Cup Set (6 pcs)","SR-107","0.5","10x10x10"
"WOOCOMMERCE","Rustic Tombol Coffee Mug","SR-106","0.5","10x10x10"
"WOOCOMMERCE","Artisan Brick Pattern Mug","SR-105","0.5","10x10x10"
